,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject
2868,Poldark TV series Soundtracks for Piano-Quicklessons,True,20,8,1,9,Beginner Level,1 hour,Musical Instruments
3676,Your First Successful Forex Trades - With Case Studies,True,200,1079,34,16,All Levels,2.5 hours,Business Finance
548,Bookkeeping Basics:  Understand the Fundamentals,True,75,853,45,48,Beginner Level,4.5 hours,Business Finance
534,Blues Guitar Lessons - Ragtime Blues Guitar,True,20,59,3,6,Expert Level,2 hours,Musical Instruments
1389,Free Options 101 - Basic of Call and Put Options in 1 Hours,False,Free,2481,71,26,All Levels,1.5 hours,Business Finance
2735,"Photoshop tips and tricks, how to change clothes",True,20,837,4,26,All Levels,2 hours,Graphic Design
2292,Learn print production from start to finish,True,35,494,6,16,All Levels,1 hour,Graphic Design
2036,"Jazz Guitar Tips, Tricks and Licks",False,Free,9351,331,21,Intermediate Level,2 hours,Musical Instruments
1794,"Improvise Puccini´s 'E Lucevan le Stelle on Piano""",True,20,169,3,16,All Levels,2 hours,Musical Instruments
797,Complete Codeigniter: From Beginner to Advanced,True,200,2786,31,20,All Levels,3 hours,Web Development
1598,How To Create Amazing Cinemagraphs with Microsoft PowerPoint,True,30,1782,18,10,Beginner Level,1 hour,Graphic Design
1080,DIY: Reduce Unpaid Federal Tax thru  IRS Offer in Compromise,True,20,44,3,8,All Levels,1 hour,Business Finance
1740,HTML Introduction Course: Learn HTML in 2 hours!!!,False,Free,7304,368,28,All Levels,2 hours,Web Development
3606,Wordpress Development : Create a Custom Wordpress Website,True,120,885,3,13,All Levels,1.5 hours,Web Development
3497,Ultimate Css & JQuery Form Designing From Beginner to Expert,True,115,783,5,13,All Levels,1 hour,Web Development
1588,How To Create a Local Wordpress Environment,False,Free,4306,163,12,Beginner Level,31 mins,Web Development
1619,How to design professional PowerPoint business presentation,True,20,286,7,7,All Levels,1 hour,Graphic Design
3173,Sublime Text for Rapid Web Development,True,20,2104,69,14,All Levels,1 hour,Web Development
771,Code a personal splash page in 1 hour,True,20,10610,83,10,Beginner Level,1 hour,Web Development
2954,Python Algo Trading: Sentiment Trading with News,True,200,294,19,42,All Levels,7 hours,Business Finance
3193,Swing Low - The 101 Authentic Nashville Piano Style Course,True,20,146,5,15,All Levels,1 hour,Musical Instruments
1913,Introduction to Futures Trading and Live Trade Demonstration,True,60,54,4,6,Expert Level,43 mins,Business Finance
1571,How to Build a Massive Retirement Plan from Scratch!,True,200,1498,30,23,Beginner Level,2 hours,Business Finance
746,Chartered Financial Analyst (CFA) - Level 1 - FRA,True,30,517,5,17,Beginner Level,14.5 hours,Business Finance
3202,Tape Reading: Learn how to read the tape for day trading,True,195,1013,128,32,All Levels,14 hours,Business Finance
2263,Learn Object Oriented Programming PHP fundamentals bootcamp,True,100,22213,142,16,All Levels,1 hour,Web Development
2481,Logo Portfolio in 1 Hour in Wordpress,True,100,734,9,36,All Levels,1 hour,Graphic Design
1100,Drawing for All Levels: How to Design Cartoon Women,True,20,5,2,20,All Levels,1.5 hours,Graphic Design
217,Advanced Stock Options for Serious Equity Investors!,True,200,1271,23,7,Expert Level,1.5 hours,Business Finance
849,Corporate Finance - A Brief Introduction,False,Free,11724,649,17,Beginner Level,1.5 hours,Business Finance
1505,Guitar Lessons - Blind Blake - King Of Ragtime Blues Guitar,True,20,65,5,13,Expert Level,4 hours,Musical Instruments
2844,"Play Piano 2:  Play 'Love Me Tender By Ear with 2-5 Chords""",True,50,1204,8,56,All Levels,1.5 hours,Musical Instruments
3383,The Ultimate WordPress Boot Camp: Build 7 Websites,True,125,1000,74,140,Intermediate Level,11 hours,Web Development
907,Create Animated Gif Advertising Banners in Photoshop CC,True,85,1310,9,20,All Levels,1 hour,Graphic Design
2035,Jazz Guitar Reharmonization for Autumn Leaves,True,20,30,1,15,All Levels,37 mins,Musical Instruments
