,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject
2886,Practical PHP: Master the Basics and Code Dynamic Websites,False,Free,83737,4598,45,All Levels,6.5 hours,Web Development
1872,Intro to Financial Modeling,True,105,1077,110,55,Beginner Level,6 hours,Business Finance
865,Cost of Capital and Weighted Average Cost of Capital,False,Free,405,3,22,All Levels,1 hour,Business Finance
2159,Learn Complete WordPress for Building a Professional Sites,True,80,13708,92,62,All Levels,9 hours,Web Development
3096,Sketch 3 - New Guide To iOS 8 Mobile App Design (2015),True,20,481,15,66,All Levels,5.5 hours,Graphic Design
1796,Iníciate en Microstation,True,20,0,0,10,Beginner Level,1 hour,Graphic Design
2484,Magazine Design: Start your own magazine in less than 24hrs,True,20,802,10,30,All Levels,2 hours,Graphic Design
162,Adobe Illustrator Creative Cloud:  Mastering the Upgrades,True,20,22,3,57,Intermediate Level,2 hours,Graphic Design
1352,Forex Trading For Beginners: Technical Trading,False,Free,1685,29,16,Beginner Level,2 hours,Business Finance
2775,PHP User Login Registration Script With All Features,True,200,5603,46,47,All Levels,4 hours,Web Development
2012,JavaScript Game Development: Create Your Own Breakout Game,False,Free,10179,314,21,All Levels,1.5 hours,Web Development
2201,Learn How to Play CashFlow Game,True,35,1459,11,26,Beginner Level,1 hour,Business Finance
953,Creative Perspective Illustration with GIMP,True,50,43,3,57,All Levels,6.5 hours,Graphic Design
2965,Quick & Easy Piano Chords: Play more songs with more chords,True,55,1818,4,90,Beginner Level,2.5 hours,Musical Instruments
2867,Podcast Cover Art | Design Like the Best,True,20,33,2,7,All Levels,1 hour,Graphic Design
2024,JavaScript Promises: Applications in ES6 and AngularJS,True,75,651,52,20,Beginner Level,2.5 hours,Web Development
968,Crystal ball trading - foresee price with seasonal patterns,True,145,807,19,23,All Levels,6 hours,Business Finance
1305,For Free - Deploy Quickly Spring Boot on Heroku With MySQL,True,95,177,19,10,All Levels,1 hour,Web Development
2843,Play Piano 1 Master Class Intro:  Standards 2-5 Power Chords,True,50,1541,14,42,All Levels,1 hour,Musical Instruments
373,ASP :basics for beginners,True,35,764,7,8,All Levels,1 hour,Web Development
955,Credit Control Procedures,True,20,3,0,6,All Levels,34 mins,Business Finance
742,ChalkTalk: Financial Accounting,True,20,25,1,108,All Levels,3.5 hours,Business Finance
2334,Learn To Build Apps Using Play Framework,True,40,434,69,23,All Levels,5.5 hours,Web Development
974,CSS Image filters - The modern web images color manipulation,False,Free,6315,53,16,All Levels,1.5 hours,Web Development
360,Aprende escalas y arpegios  Vol. I: Modo mayor,True,50,85,2,30,Beginner Level,1.5 hours,Musical Instruments
2959,Python Programming: Create an Digital Marketplace in Django,True,195,4198,145,161,All Levels,26 hours,Web Development
2977,Rails Ecommerce App with HTML Template from Themeforest,True,25,214,34,24,Intermediate Level,2 hours,Web Development
2917,Professional Web Scraping with Java,True,50,685,37,14,Intermediate Level,1 hour,Web Development
2465,Live Account - ETF Trading System - Hacking The Stock Market,True,150,2318,19,16,All Levels,5 hours,Business Finance
1082,Django by Example,True,125,170,21,78,Expert Level,9 hours,Web Development
444,Become a Professional Web Developer | Version 3.0,True,200,6851,276,454,All Levels,60 hours,Web Development
1275,Finanzas Personales para Vivir Libre de Deudas,True,75,76,13,77,Beginner Level,6 hours,Business Finance
868,Covered Calls - Powerful Income Strategy for Stock Traders,True,60,22,0,8,Beginner Level,1 hour,Business Finance
1742,HTML Made Simple For Beginners: Create a One Page Website,True,65,3380,50,16,Beginner Level,2 hours,Web Development
2709,Photoshop Avançado - Pós Produção e fusão com 3D,True,135,15,0,6,Expert Level,1 hour,Graphic Design
262,"An Introduction: MT4 Email, Sound, Notification Forex Alerts",True,20,323,30,11,Intermediate Level,37 mins,Business Finance
2729,Photoshop Learn Concept Art Manipulation,True,25,8,0,11,Beginner Level,1.5 hours,Graphic Design
2113,Learn Ajax and jquery with PHP,True,20,2964,8,9,Beginner Level,1.5 hours,Web Development
1449,Getting Started With Photoshop CC,True,75,1090,14,45,Beginner Level,4.5 hours,Graphic Design
495,Big Data and Apache Hadoop for Developers - Fundamentals,True,30,1154,89,9,Intermediate Level,3 hours,Web Development
336,Aprende a tocar el teclado como los expertos,True,50,11,1,37,All Levels,2.5 hours,Musical Instruments
3447,Traditional-Style Electric Blues Guitar For Beginners,True,25,9,2,36,Beginner Level,3 hours,Musical Instruments
887,Create a MEAN App by Example - Full Stack Course,True,50,421,26,33,Intermediate Level,3.5 hours,Web Development
3504,Ultimate JavaScript Strings,False,Free,3142,117,20,Beginner Level,37 mins,Web Development
60,A Beginners Guide to Technical Analysis of Stock Charts,True,40,829,78,50,Beginner Level,8.5 hours,Business Finance
779,Coding Made Easy: HTML & CSS For Beginners,True,40,3254,92,16,Beginner Level,1.5 hours,Web Development
3519,Unit Testing AngularJS: Build Bugfree Apps That Always Work!,True,25,2083,213,23,All Levels,2.5 hours,Web Development
1502,Guitar Kick Start,False,Free,3160,47,22,Beginner Level,1 hour,Musical Instruments
3600,WordPress Backup And Restore Fundamentals,False,Free,13242,131,24,Intermediate Level,1 hour,Web Development
3312,The Complete Value Investing Course: A Proven Approach,True,200,2146,212,49,All Levels,4.5 hours,Business Finance
2114,Learn all Piano Chords in all Piano Scales with logic,True,45,969,2,17,Beginner Level,1 hour,Musical Instruments
2103,Learn Accounting by Specific Examples - Part 1,True,50,306,0,5,All Levels,38 mins,Business Finance
1821,Instant harmonica - play Adele's wonderful 'Hello' today!,True,20,284,3,12,All Levels,1 hour,Musical Instruments
1877,Intro to Impact Investing,True,200,44,4,12,Beginner Level,32 mins,Business Finance
1666,How to Make Your Own Children's Interactive eBook!,True,95,33,2,17,Beginner Level,1.5 hours,Graphic Design
1079,DIY Design Professional Web Banners in Photoshop 4 Beginners,True,200,6944,30,24,Beginner Level,1 hour,Graphic Design
2115,Learn and Build using Polymer,True,40,513,169,48,All Levels,3.5 hours,Web Development
1656,How To Make A Wordpress Website 2017 - Divi Theme Tutorial,True,40,2780,94,29,Beginner Level,3 hours,Web Development
2198,Learn How To Play 25 Classic Hip Hop Songs,True,25,153,9,27,All Levels,2.5 hours,Musical Instruments
2358,Learn To Invest In 7 Steps,True,50,137,14,21,Beginner Level,3 hours,Business Finance
3005,Redux in Angular (2 and 4+),True,70,909,16,13,Intermediate Level,1.5 hours,Web Development
2810,"Piano Unbound. Piano learning method, a course for beginners",True,195,32,1,39,All Levels,2.5 hours,Musical Instruments
3430,Trading Options With Money Flow,True,200,1380,42,17,All Levels,1 hour,Business Finance
2480,Logo Designing for Your Business in an Hour,True,20,25277,311,16,All Levels,1 hour,Graphic Design
957,Credit Risk Analysis,True,20,194,24,19,Intermediate Level,3.5 hours,Business Finance
3314,The Complete Web Developer Bootcamp - Beginner to Expert,True,190,14103,1548,197,All Levels,21.5 hours,Web Development
3348,The Latest Updates 2016 Financial Accounting Standards Board,True,50,1,0,9,Intermediate Level,2 hours,Business Finance
1618,How to Design an Awesome Letterhead in Adobe Illustrator,False,Free,4776,115,18,All Levels,34 mins,Graphic Design
3593,Winning Options Trading System,True,105,367,11,24,All Levels,7.5 hours,Business Finance
45,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,True,20,1027,29,25,All Levels,1.5 hours,Business Finance
2845,Play Piano 3: Improvise Chords to Enchanted Evening by Ear,True,50,809,5,57,All Levels,1.5 hours,Musical Instruments
2611,Modern Rock Guitar Techniques,True,50,3157,375,32,Intermediate Level,3 hours,Musical Instruments
794,Complete Beginners Introduction to Guitar,True,40,10,4,35,Beginner Level,1.5 hours,Musical Instruments
2224,Learn HTML in 59 Minutes - Your intro to front-end dev,True,35,333,15,14,Beginner Level,1 hour,Web Development
3042,Running a Web Development Business: The Complete Guide,True,150,24575,525,98,All Levels,19.5 hours,Web Development
3229,Test your Knowledge in Cost Accounting,True,30,999,3,0,All Levels,18 questions,Business Finance
1746,HTML Workshop,True,20,25854,306,17,All Levels,2 hours,Web Development
1631,How to easily Manage your WordPress Website,True,20,8462,50,21,Beginner Level,2 hours,Web Development
3677,Your Own Site in 45 Min: The Complete Wordpress Course,True,120,1566,29,36,All Levels,4 hours,Web Development
1145,Economics - CFA Level 1 - 2014,True,20,135,20,24,Beginner Level,4 hours,Business Finance
151,Adobe Flash for Beginners - Build Flash Website From Scratch,True,200,17071,17,15,All Levels,1.5 hours,Web Development
2575,Mastering Realistic Real Life Drawing with Pencil,True,20,33,5,12,Beginner Level,39 mins,Graphic Design
1238,Financial and Business Simulation with Microsoft Excel,True,20,44,5,8,Expert Level,31 mins,Business Finance
1495,Guitar for Beginners - Learn the Basics,True,20,1026,13,19,Beginner Level,31 mins,Musical Instruments
1878,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",True,60,1922,149,15,All Levels,20 hours,Business Finance
924,Create Professional Character Designs in Photoshop,True,20,228,11,21,Intermediate Level,4 hours,Graphic Design
2538,Master the Clarinet: Intermediate Instruction Made Simple!,True,50,232,11,97,All Levels,7 hours,Musical Instruments
3116,Spring Framework 4 (Java Enterprise JEE) with AngularJS,True,95,5177,318,70,All Levels,13.5 hours,Web Development
3212,Technical Analysis 101: Secrets of Trading Revealed,True,150,912,27,81,All Levels,2.5 hours,Business Finance
2073,"Kids Coding -Introduction to HTML, CSS and JavaScript",True,200,2355,143,215,Beginner Level,7 hours,Web Development
3441,TRADING TRUTHS,True,50,1405,14,27,All Levels,2 hours,Business Finance
438,Become a HTML and CSS Developer - Build a Responsive Site,False,Free,3894,91,29,Beginner Level,2 hours,Web Development
442,Become a Professional Graphic Designer,True,35,3618,345,207,All Levels,20.5 hours,Graphic Design
2631,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",False,Free,3035,12,14,All Levels,1.5 hours,Business Finance
2377,"Learn to Play 'Let It Snow on Piano""",True,40,36,4,8,Intermediate Level,1 hour,Musical Instruments
100,Accounting 1 Simplified for You,True,45,2490,95,13,Beginner Level,3 hours,Business Finance
1511,Guitar Lessons - The Modal System - Modes Essentials,True,45,116,7,27,All Levels,2 hours,Musical Instruments
1606,How to create Paypal and Credit card Payment Buttons,True,65,578,6,8,Beginner Level,1 hour,Web Development
2928,Projects in CSS,True,60,4689,216,54,All Levels,10 hours,Web Development
2401,Learn to Read & Write Music to play Piano & more instruments,True,115,5292,38,85,All Levels,10.5 hours,Musical Instruments
3205,Tax Preparation: Learn Fast! Prepare Taxes with Confidence!,True,200,609,32,33,All Levels,2.5 hours,Business Finance
2299,"Learn Rails: Quickly Code, Style and Launch 4 Web Apps",True,200,1849,21,83,All Levels,3 hours,Web Development
1629,How to draw professional manga artwork by Punix,True,35,83,3,17,Beginner Level,1.5 hours,Graphic Design
780,CoffeeScript: The Good Parts—Write Better javaScript,True,50,2152,19,15,Beginner Level,2.5 hours,Web Development
1287,Fingerstyle Guitar Mastery: 3 Techniques You Need To Know,False,Free,3042,40,13,All Levels,34 mins,Musical Instruments
1994,Javascript Essentials,False,Free,47062,5590,41,Beginner Level,8.5 hours,Web Development
2101,Learn about it,True,20,1193,24,27,All Levels,1.5 hours,Business Finance
2420,Learn to Use jQuery UI Widgets,False,Free,23669,521,9,Beginner Level,1 hour,Web Development
3453,Trombone Lessons For Beginners,True,95,11,2,34,Beginner Level,3 hours,Musical Instruments
3361,The Professional Bass Masterclass,True,200,1449,136,88,All Levels,7 hours,Musical Instruments
2897,Professional Bookkeeping & Accounting 2 - Bank Daybook,True,35,91,6,36,All Levels,2 hours,Business Finance
2748,Photoshop: Real World Hands-on Freelance Mastery,True,105,5950,25,29,All Levels,2.5 hours,Graphic Design
683,画像加工の初心者でも「１日」で初歩を覚えられる無料講座,False,Free,21,0,18,Beginner Level,1 hour,Graphic Design
2339,Learn to Build Websites using Twitter Bootstrap,False,Free,15134,523,12,All Levels,2.5 hours,Web Development
583,Build A Career In Forex Trading- Learn Fundamental Analysis,True,200,2092,77,52,All Levels,3.5 hours,Business Finance
723,CFA Corporate Finance Level 2,True,50,2474,6,128,All Levels,17.5 hours,Business Finance
2056,jQuery in Action: Build 8 jQuery Projects,True,100,1385,89,97,All Levels,11 hours,Web Development
246,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),True,20,1749,41,21,All Levels,1 hour,Business Finance
2941,ProTrader -  Advanced Technical Analysis,True,125,825,11,34,All Levels,2 hours,Business Finance
2818,Piano With Willie: Blues n' Boogie Vol. 2,True,40,95,8,11,Intermediate Level,2.5 hours,Musical Instruments
1311,Forex - Top Equity Management Strategy,True,20,18,4,13,All Levels,35 mins,Business Finance
2640,Ninja Chord Changes - Master your guitar chord changes,True,30,1327,11,13,Beginner Level,1.5 hours,Musical Instruments
2177,Learn GIMP,True,20,441,53,34,All Levels,6.5 hours,Graphic Design
1818,Instant Harmonica - how to get single notes in 5 easy steps,True,20,835,10,7,Beginner Level,38 mins,Musical Instruments
27,2. Principles of Simple Interest - advanced problems,True,20,10,1,12,Intermediate Level,1.5 hours,Business Finance
1850,Instant Harmonica - play The Kesh (pt 1) it's easy and fun!,True,40,58,5,11,All Levels,35 mins,Musical Instruments
1271,Financial Statements Basics,True,20,1374,19,9,Beginner Level,2 hours,Business Finance
468,Beginner to Pro in Excel: Financial Modeling and Valuation,True,195,22257,2697,138,All Levels,7.5 hours,Business Finance
1682,How to play in a local Irish music session with confidence,True,40,193,5,8,All Levels,1 hour,Musical Instruments
2054,jQuery For Beginners : A Basic Introduction,True,65,6293,165,8,Beginner Level,1 hour,Web Development
3139,Stock Market for Beginners - Complete Starter Toolkit,True,120,577,45,82,Intermediate Level,6.5 hours,Business Finance
1261,Financial Planning & Analysis: Building a Company's Budget,True,150,1988,137,27,All Levels,1.5 hours,Business Finance
1795,In Depth Web Development Made Easy,True,25,3249,27,60,All Levels,6.5 hours,Web Development
2824,Piano With Willie: Jazz Kids - Vol 4,True,40,19,0,30,Intermediate Level,3.5 hours,Musical Instruments
1242,Financial Management Capital Market Instruments,True,25,2650,5,17,Beginner Level,1 hour,Business Finance
2394,Learn to Play the Tuba: Beginner to Pro in Under Five Hours!,True,50,225,19,106,All Levels,6 hours,Musical Instruments
393,Back In Black the AC/DC Classic Rock Track,True,20,13,1,72,Intermediate Level,2 hours,Musical Instruments
1316,Forex Basics,False,Free,22344,712,26,Beginner Level,3.5 hours,Business Finance
3028,Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx!,True,130,315,49,41,All Levels,5 hours,Business Finance
2323,Learn the Basics of Programming for Marketers,True,55,11339,43,26,Beginner Level,3.5 hours,Web Development
3243,The Almost Perfect Options Trading Strategy System - Unique,True,200,1793,18,15,All Levels,1 hour,Business Finance
2701,Photoshop - Composição vintage,True,30,35,4,9,All Levels,1 hour,Graphic Design
1715,How To Trade RSI Pullback Strategy: Entry To Exit (Forex),True,150,104,10,21,All Levels,2 hours,Business Finance
8,:::Beginners Guide To Creating Amazing Images with Canva:::,True,25,72,5,17,Beginner Level,1 hour,Graphic Design
1190,Estrategias de trading en bolsa,True,25,15,2,14,All Levels,2 hours,Business Finance
3198,TAKE NOTE BEGINNER CLARINET!  –  Fun with Fundamental Skills,True,30,137,2,43,Beginner Level,4.5 hours,Musical Instruments
1426,Get Acquired: Learn From The Head Of Acquisitions For eBay,True,195,1420,70,29,All Levels,2.5 hours,Business Finance
2284,Learn Piano Online-In the Garden Piano Solo,True,60,1,0,11,Intermediate Level,1 hour,Musical Instruments
698,Canva - Making Design Simple,True,20,509,4,15,All Levels,32 mins,Graphic Design
1720,HTML : Beginner Guide to HTML writing,True,20,783,20,13,Beginner Level,37 mins,Web Development
790,Como utilizar o Corel Draw por completo!,True,30,293,32,44,All Levels,7 hours,Graphic Design
3123,Start Web Development with GIS Map in JavaScript,True,60,1599,26,49,All Levels,3 hours,Web Development
3165,Stop Creditors from Harassing you and Avoid Bankruptcy,True,20,0,0,7,Beginner Level,37 mins,Business Finance
1614,How To Design A Fortune 500 Logo in Illustrator,True,195,3599,43,72,Intermediate Level,5 hours,Graphic Design
3486,Ukelele exprés: aprende a tocar en menos de un mes,False,Free,888,64,25,Beginner Level,1.5 hours,Musical Instruments
1214,FACEBOOK COVERS IN POWERPOINT,True,95,1123,31,13,Beginner Level,38 mins,Graphic Design
1930,Introduction to Piano - By PGN Piano!,False,Free,14922,772,8,Beginner Level,40 mins,Musical Instruments
2400,Learn to Raise the Funds You Need via Crowdfunding,True,20,3403,29,70,All Levels,8 hours,Business Finance
3556,Web Design for Web Developers: Build Beautiful Websites!,False,Free,98867,6512,20,All Levels,3 hours,Web Development
1590,How To Create A Real Estate Website With Wordpress 2017,False,Free,3782,32,11,Beginner Level,1.5 hours,Web Development
2832,Pin Bars: The Most Powerful Forex Trading Signal,True,200,494,16,19,All Levels,1 hour,Business Finance
897,Create a social network using PHP Mysqli HTML Css and JQuery,True,40,1477,17,27,Intermediate Level,6 hours,Web Development
3097,Sketch 3 from A to Z: Become an App Designer,True,75,7282,1629,42,All Levels,3.5 hours,Graphic Design
3357,The Piano Chord Ladder | Learn to Play Thousands of Songs,True,100,103,2,11,All Levels,1 hour,Musical Instruments
871,Cracking the Violin Code!,True,120,746,82,40,All Levels,5.5 hours,Musical Instruments
247,ALGOTECH Hedge Fund Method for Stock Market Trading,True,20,605,19,4,All Levels,19 mins,Business Finance
2806,Piano Runs & Fills #4: C6 Rolling Waves & Waterfall Runs,True,70,834,3,35,All Levels,1 hour,Musical Instruments
1589,How To Create A Low Poly Portrait With The Pen Tool,True,195,293,5,18,Beginner Level,1 hour,Graphic Design
2132,Learn basics of HTML in 30 Minutes,True,20,945,17,11,Beginner Level,33 mins,Web Development
1429,Get out of Debt - The Power of Using Compounding Interest,True,50,1195,3,7,All Levels,2 hours,Business Finance
545,Bones of the Blues - learn 4 cool tunes to expert level now!,True,200,248,9,21,All Levels,2 hours,Musical Instruments
2419,Learn to Trade With Fibonacci Tools,True,30,252,45,30,Intermediate Level,4 hours,Business Finance
3483,مدخل في أساسيات الفوطوشوب للمبتدئين فقط,True,120,13,9,7,Beginner Level,1 hour,Graphic Design
1392,French Horn Solos: Learn how to Perform Three Fun Pieces!,True,50,88,1,48,All Levels,3 hours,Musical Instruments
2307,Learn Ruby on Rails By Building Projects,True,60,1736,79,47,All Levels,13 hours,Web Development
146,Adobe - Create a professional logo step-by-step (Beauty),True,20,2420,27,21,All Levels,1.5 hours,Graphic Design
1444,Getting Started with Illustrator CC,True,100,92,10,57,Beginner Level,5.5 hours,Graphic Design
3466,Tumult Hype Pro Basics: HTML5 Animations Made Easier,True,50,716,32,57,Beginner Level,4 hours,Web Development
3668,Year-end QuickBooks Procedures,True,20,51,2,10,Beginner Level,2 hours,Business Finance
3349,The Logo Design Process From Start To Finish,True,95,2361,74,40,All Levels,5.5 hours,Graphic Design
2221,Learn HTML Basics From Scratch,False,Free,5004,52,21,All Levels,3 hours,Web Development
3268,The Complete DevOps Engineer Course 2.0 - Java & Kubernetes,True,195,5335,105,117,All Levels,14 hours,Web Development
651,"Building a Portfolio in 90 minutes ( HTML, CSS, Js ) ",True,20,5272,111,24,All Levels,2 hours,Web Development
1231,Financial Accounting Part I - Passing the Class,True,20,45,10,47,Beginner Level,4.5 hours,Business Finance
3461,T-Shirt Design Workshop 01: Foundation,True,25,690,162,19,All Levels,1 hour,Graphic Design
169,Adobe Illustrator Vectors For Hand Letterers,True,100,23,2,9,Beginner Level,37 mins,Graphic Design
362,Aprende Photoshop con Ejercicios Prácticos.,True,20,3,0,46,All Levels,4 hours,Graphic Design
43,6. Annuities Due and Deferred,True,20,170,0,16,All Levels,1.5 hours,Business Finance
2515,Master ASP . NET 4 from scratch,True,50,613,135,116,All Levels,16 hours,Web Development
283,"Angular 4 - Concepts, Code and Collective Wisdom",True,50,851,164,75,Intermediate Level,4.5 hours,Web Development
3232,Texturing For Designers - Bring Life to Design With Textures,True,60,201,0,12,All Levels,1 hour,Graphic Design
2647,Nuke X: Aprende composición digital,True,35,3,1,21,Beginner Level,2.5 hours,Graphic Design
977,CSS Tutorial For Beginners: Style Your Wordpress Templates,True,35,1049,22,47,Beginner Level,3.5 hours,Web Development
390,AWS Serverless APIs & Apps - A Complete Introduction,True,145,2145,166,136,All Levels,8 hours,Web Development
508,Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,False,Free,10670,444,15,All Levels,1 hour,Business Finance
2979,Raising Capital for Your Business,True,50,22,5,60,All Levels,2.5 hours,Business Finance
465,Beginner Piano,True,20,776,79,89,Beginner Level,4 hours,Musical Instruments
455,Beginner Guitar - 38 Easy Lessons You Needs to Get Started,True,40,250,24,39,Beginner Level,3 hours,Musical Instruments
2723,"Photoshop From Scratch to Logos, Digital Drawing & Projects",True,20,91,10,21,Beginner Level,1.5 hours,Graphic Design
3550,Wealth Management,True,30,274,1,21,All Levels,3.5 hours,Business Finance
1055,Digital Art for Beginners,True,150,3381,388,57,Beginner Level,15 hours,Graphic Design
505,Bitcoin & Ethereum Course (2 Course Bundle),True,200,1,0,52,All Levels,2.5 hours,Business Finance
1288,FingerstyleGuitar by Jacques Stotzem - Basic Level,True,30,119,12,16,All Levels,1.5 hours,Musical Instruments
3581,Website Secrets: Get a Gorgeous Website on the Cheap,True,50,12328,15,32,All Levels,2 hours,Web Development
3607,WordPress Development Crash Course: From Zero To Hero,True,60,1699,8,22,All Levels,2 hours,Web Development
3438,TRADING TACTICS,True,145,951,25,62,All Levels,6 hours,Business Finance
1416,Futures/Commodity Trading,True,50,472,34,23,All Levels,5.5 hours,Business Finance
853,Corporate Internal Controls and Fraud Controls,True,50,1,0,12,Intermediate Level,2 hours,Business Finance
1958,"Investing In Stocks For Big Gains, Fundamental Investing",True,200,267,11,21,All Levels,2 hours,Business Finance
3114,Spring Boot Tutorial For Beginners,True,40,2578,210,39,Beginner Level,5.5 hours,Web Development
1011,Торговля дельта-нейтральными стренглами,True,150,23,6,25,All Levels,1.5 hours,Business Finance
158,Adobe Illustrator CC Advanced,True,30,11,1,27,Beginner Level,1.5 hours,Graphic Design
276,Angular 2 From The Ground Up,True,30,1737,471,87,All Levels,11.5 hours,Web Development
2724,Photoshop from Zero to Hero ( Arabic ),True,60,720,220,82,Beginner Level,12.5 hours,Graphic Design
3332,The Easy Beginner Drum Course,True,25,21,4,12,Beginner Level,30 mins,Musical Instruments
2608,"Modern JavaScript: Building Real-World, Real-Time Apps",True,50,1871,154,60,Intermediate Level,13.5 hours,Web Development
516,"Bitcoins - Past, Present, Future",True,20,373,3,14,Beginner Level,1.5 hours,Business Finance
1922,Introduction to Laravel 4,False,Free,9110,411,22,All Levels,2.5 hours,Web Development
62,A Complete Guide to Becoming a Trader on the Forex Market,True,25,562,11,15,All Levels,1 hour,Business Finance
3035,"Ruby on Rails 5 - BDD, RSpec and Capybara",True,200,1870,193,145,All Levels,14.5 hours,Web Development
3579,Website Builder Software Previews,True,25,1406,12,20,Beginner Level,1 hour,Web Development
56,A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course,True,35,4183,231,86,Intermediate Level,14 hours,Web Development
1274,Financial Translation,True,20,167,6,29,Beginner Level,1.5 hours,Business Finance
3455,Trumpet Lessons For Beginners,True,95,17,3,35,Beginner Level,2.5 hours,Musical Instruments
1775,IFRIC 13-Customer Loyalty Programmes (Revenue),False,Free,2058,22,6,All Levels,36 mins,Business Finance
1492,Guitar Crash Course (No Experience Necessary),False,Free,5769,78,29,Beginner Level,1 hour,Musical Instruments
2104,Learn Accounting. Understand Business.,True,200,5572,123,33,Beginner Level,5.5 hours,Business Finance
2134,Learn basics of South Indian Carnatic Flute Step by Step,True,150,380,113,49,Beginner Level,4 hours,Musical Instruments
3434,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",True,200,1094,8,13,Beginner Level,2 hours,Business Finance
741,CFP - Introduction to Financial Planning,True,30,1192,12,38,Beginner Level,12 hours,Business Finance
1863,Interiores Sostenibles 101,True,30,1,0,5,Beginner Level,1 hour,Graphic Design
3327,The CSS and CSS3 Crash Course,True,150,2051,99,76,All Levels,13 hours,Web Development
1638,How to invest in Forex Trading & add an additional income,True,50,8,2,14,All Levels,2 hours,Business Finance
1861,Interactive Dynamic JavaScript for beginners DOM,True,200,5559,35,21,Beginner Level,2 hours,Web Development
3275,The Complete Financial Model Builder Course-Build 7 Models,True,75,214,20,88,All Levels,9 hours,Business Finance
569,Bootstrap For Beginners: A  Basic Introduction,True,55,1186,14,9,Beginner Level,40 mins,Web Development
2163,Learn Drawing and Painting a Landscape with Oil Colours,True,20,51,2,20,Intermediate Level,2 hours,Graphic Design
2781,PHP: Complete Login and Registration System with PHP & MYSQL,True,200,1448,173,48,All Levels,7.5 hours,Web Development
1790,Improve Your Financial Literacy,False,Free,9995,96,10,All Levels,2 hours,Business Finance
3371,"The True ' Secret Sauce  For Stock Market Success""",True,200,23,2,30,All Levels,3 hours,Business Finance
1225,Finance Fundamentals for Non Finance Leaders,True,20,37,7,15,All Levels,1 hour,Business Finance
2613,"Modern Web Development with SASS, Gulp, NPM & Web Workflows",True,95,502,62,59,Beginner Level,5 hours,Web Development
1113,Drupal 7 for Beginners,True,35,926,102,37,All Levels,2.5 hours,Web Development
1089,Docker Technologies for DevOps and Developers,True,30,19210,3137,44,All Levels,3 hours,Web Development
2155,Learn Cinema 4D: Create an Abstract Background,True,20,2004,4,9,Beginner Level,34 mins,Graphic Design
452,"Beginner API development in Node, Express, ES6, & MongoDB",True,165,7057,655,65,Beginner Level,18.5 hours,Web Development
2139,Learn Bookkeeping From Scratch,True,20,168,2,21,All Levels,3 hours,Business Finance
1995,JavaScript for Absolute Beginners,True,20,10689,394,17,Beginner Level,2 hours,Web Development
187,Adobe Suite : Unleash your creativity & benefit from it !,True,200,1005,4,46,All Levels,9.5 hours,Graphic Design
979,CSS3 for beginners,True,195,3831,15,25,Beginner Level,1.5 hours,Web Development
993,Curso de Day Trader para Iniciantes,False,Free,1278,200,13,Beginner Level,1.5 hours,Business Finance
2738,"Photoshop, Illustrator, InDesign & Graphic Design Principles",True,30,934,143,41,All Levels,12 hours,Graphic Design
2025,JavaScript Rockstar How to create Incredible Useful code,True,75,16590,51,27,All Levels,2.5 hours,Web Development
2553,Mastering AngularJS UI Development,True,95,464,26,22,Expert Level,1.5 hours,Web Development
2674,Option Trading: How to Adjust Delta-Neutral Strangles!,True,145,1398,15,26,All Levels,1.5 hours,Business Finance
1662,How To Make Graphics For A Website,True,200,24857,35,11,All Levels,1.5 hours,Graphic Design
2185,"LEARN HARMONICA, amaze your friends and have fun - it's easy",True,200,8857,718,131,All Levels,15.5 hours,Musical Instruments
507,Bitcoin For Beginners,True,50,37,3,22,Beginner Level,4 hours,Business Finance
2632,Mundharmonika spielen - mein schönstes Hobby,True,20,65,7,77,Beginner Level,2.5 hours,Musical Instruments
1801,Infodesign,True,50,2,1,12,Beginner Level,1.5 hours,Graphic Design
693,CAIIB Advanced Bank Management (Part I),True,25,2953,20,211,All Levels,20.5 hours,Business Finance
90,ABC DO VIOLÃO E GUITARRA,True,85,25,2,30,Beginner Level,2.5 hours,Musical Instruments
1031,Design and Animate a Gamer UI,True,20,3481,37,6,All Levels,1.5 hours,Graphic Design
2044,Jquery :basics for beginners,True,50,1274,34,15,All Levels,40 mins,Web Development
721,Certificate Program In Management Accounting,True,50,1532,7,24,All Levels,6 hours,Business Finance
2780,PHP Zend Framework 2:Creating a CRUD Application,True,40,802,6,9,All Levels,38 mins,Web Development
2994,React vs Angular vs Vue.js by Example,False,Free,6958,132,30,Beginner Level,3.5 hours,Web Development
35,3DS MAX - Learn 3Ds MAX tutorial for Beginners in Urdu Hindi,True,20,785,2,29,All Levels,4.5 hours,Graphic Design
